[12:51:14] login_id: 1 | SQL: DELETE FROM tbl_member_recieved WHERE id = ? | Values: ["16"]
[12:52:56] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["2","0","2025-08-16",1,"3","test","12"]
[12:52:56] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"12"]
[12:55:15] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete) VALUES (?, ?, ?, ?, ?, ?, 0) | Values: ["1","300","2025-08-16",1,"3","test"]
[12:55:15] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","","",1,"3","test",1]
[12:55:42] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","150","2025-08-16",1,"3","test","1"]
[12:55:42] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"1"]
[12:56:33] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","150","2025-08-16",1,"3","test","1"]
[12:56:33] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"1"]
[12:56:42] login_id: 1 | SQL: DELETE FROM tbl_member_recieved WHERE id = ? | Values: ["3"]
[13:00:37] login_id: 1 | SQL: DELETE FROM tbl_member_recieved WHERE id = ? | Values: ["1"]
[13:00:37] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,null]
[13:46:12] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","50","",1,"3","test","1"]
[13:46:12] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"1"]
[13:46:23] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","50","2025-08-16",1,"3","test","1"]
[13:46:23] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"1"]
[13:46:31] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","50","2025-08-16",1,"3","test","1"]
[13:46:31] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"1"]
[13:46:49] login_id: 1 | SQL: DELETE FROM tbl_member_recieved WHERE id = ? | Values: ["4"]
[13:46:49] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,null]
[13:52:31] login_id: 1 | SQL: DELETE FROM tbl_member_recieved WHERE id = ? | Values: ["6"]
[13:52:31] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"1"]
[13:52:52] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","50","2025-08-16",1,"3","test","1"]
[13:52:52] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"1"]
[13:53:42] login_id: 1 | SQL: DELETE FROM tbl_member_recieved WHERE id = ? | Values: ["7"]
[13:53:42] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"1"]
[13:53:58] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","100","2025-08-16",1,"3","test","1"]
[13:53:58] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"1"]
[13:54:06] login_id: 1 | SQL: DELETE FROM tbl_member_recieved WHERE id = ? | Values: ["5"]
[13:54:06] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"1"]
