[12:00:42] login_id: 1 | SQL: INSERT INTO tbl_wallet (client_id, date, amount, type) VALUES (?, ?, ?, ?) | Values: ["1","2025-09-15","300","credit"]
[12:09:37] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete) VALUES (?, ?, ?, ?, ?, ?, 0) | Values: ["1","300","2025-09-15",1,"3","test"]
[12:09:37] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","","",1,"3","test",2]
[14:06:35] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet) VALUES (?, ?, ?, ?, ?, ?,?,1) | Values: ["1","300","2025-09-15",1,"3","test","2"]
[14:06:35] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"2"]
[14:06:35] login_id: 1 | SQL: INSERT INTO tbl_wallet (client_id ,date, amount, type) VALUES (?, ?, ?, 'debit') | Values: [null,null,"300"]
[14:07:10] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet) VALUES (?, ?, ?, ?, ?, ?,?,1) | Values: ["1","300","2025-09-15",1,"3","test","2"]
[14:07:10] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"2"]
[14:07:10] login_id: 1 | SQL: INSERT INTO tbl_wallet (client_id ,date, amount, type) VALUES (?, ?, ?, 'debit') | Values: [null,null,"300"]
[14:09:09] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet) VALUES (?, ?, ?, ?, ?, ?,?,1) | Values: ["1","300","2025-09-15",1,"3","test","2"]
[14:09:09] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"2"]
[14:09:09] login_id: 1 | SQL: INSERT INTO tbl_wallet (client_id ,date, amount, type) VALUES (?, ?, ?, 'debit') | Values: ["1","2025-09-15","300"]
[14:10:46] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete) VALUES (?, ?, ?, ?, ?, ?, 0) | Values: ["1","300","2025-09-15",1,"3","test2"]
[14:10:46] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","","",1,"3","test2",3]
[14:24:54] login_id: 1 | SQL: INSERT INTO tbl_wallet (client_id, date, amount, type) VALUES (?, ?, ?, ?) | Values: ["1","2025-09-15","300","credit"]
[14:26:39] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete) VALUES (?, ?, ?, ?, ?, ?, 1) | Values: ["1","300","2025-09-15",1,"3","test"]
[14:26:39] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet) VALUES (?, ?, ?, ?, ?, ?,?,1) | Values: ["1","300","2025-09-15",1,"3","test",4]
[14:26:39] login_id: 1 | SQL: INSERT INTO tbl_wallet (client_id ,date, amount, type) VALUES (?, ?, ?, 'debit') | Values: ["1","2025-09-15","300"]
[14:28:22] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,i) VALUES (?, ?, ?, ?, ?, ?,?,0) | Values: ["1","300","2025-09-15",1,"3","test2","3"]
[14:28:49] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,i) VALUES (?, ?, ?, ?, ?, ?,?,0) | Values: ["1","300","2025-09-15",1,"3","test2","3"]
[14:29:37] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet) VALUES (?, ?, ?, ?, ?, ?,?,0) | Values: ["1","300","2025-09-15",1,"3","test2","3"]
[14:29:37] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"3"]
