[08:56:47] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete,flag) VALUES (?, ?, ?, ?, ?, ?, 0,?) | Values: ["1","300","2025-10-20",1,"3","test","2"]
[08:56:47] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,flag,transaction_type) VALUES (?, ?, ?, ?, ?, ?, ?,0,?,?) | Values: ["1","100","2025-10-20",1,"3","test","11","2","2"]
[08:56:47] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: ["2025-10-20","test","100","2","11"]
[08:56:47] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag,transaction_type, invoice_id) VALUES (?, 2, ?, ?, ?, ?, ?,?) | Values: ["2025-10-20","test","100","4","2","2","11"]
[09:02:22] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,flag,transaction_type) VALUES (?, ?, ?, ?, ?, ?,?,0,?,?) | Values: ["1","200","2025-10-20",1,"3","test","11","2","2"]
[09:02:22] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"11"]
[09:02:22] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: [null,"test",null,"2",null]
[09:02:45] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,flag,transaction_type) VALUES (?, ?, ?, ?, ?, ?,?,0,?,?) | Values: ["1","200","2025-10-20",1,"3","test","11","2","2"]
[09:02:45] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"11"]
[09:02:45] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: [null,"test",null,"2",null]
[09:08:20] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,flag,transaction_type) VALUES (?, ?, ?, ?, ?, ?,?,0,?,?) | Values: ["1","200","2025-10-20",1,"3","test","11","2","2"]
[09:08:20] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"11"]
[09:08:20] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete, flag, invoice_id) VALUES (?, 2, ?, ?, 1, ?, ?) | Values: ["2025-10-20","test","200","2","11"]
[09:08:20] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag,transaction_type, invoice_id) VALUES (?, 2, ?, ?, ?, ?, ?,?) | Values: ["2025-10-20","test","200","5","2","2","11"]
[09:49:00] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","9"]
[09:49:30] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","9"]
[09:49:30] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","9"]
[09:49:42] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","9"]
[09:49:42] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","9"]
[09:50:31] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","11"]
[09:50:31] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","11"]
[09:53:27] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","11"]
[09:53:27] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE recieveble_id = ? | Values: ["1","11"]
[09:54:31] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","11"]
