[20:49:27] login_id: 3 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-11-10","2"]
[20:49:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-11-10"]
[20:49:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["2","2","2025-11-10"]
[20:49:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-11-10"]
[20:49:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-11-10"]
[20:49:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-11-10"]
[20:49:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-11-10"]
[20:49:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-11-10"]
[21:34:55] login_id: 3 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2025-11-07"]
[21:35:34] login_id: 3 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2025-11-02"]
[21:35:59] login_id: 3 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2025-11-08"]
[21:36:09] login_id: 3 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2025-11-09"]
