[16:28:30] login_id: 3 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2025-11-21"]
[16:30:25] login_id: 3 | SQL: DELETE FROM tbl_dates WHERE id = ? | Values: ["6"]
[16:31:32] login_id: 3 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-11-23","2"]
[16:31:32] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["46","2","2025-11-23"]
[16:31:32] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2025-11-23"]
[16:31:32] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-11-23"]
[16:31:32] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["26","2","2025-11-23"]
[16:31:32] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-11-23"]
[16:31:32] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-11-23"]
[16:31:32] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-11-23"]
[16:35:44] login_id: 3 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-11-24","2"]
[16:35:44] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["46","2","2025-11-24"]
[16:35:44] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-11-24"]
[16:35:44] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["26","2","2025-11-24"]
[16:35:44] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-11-24"]
[16:35:44] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-11-24"]
[16:35:44] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-11-24"]
[16:35:44] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-11-24"]
[16:35:44] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-11-24"]
[17:06:56] login_id: 3 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-11-25","2"]
[17:06:56] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-11-25"]
[17:06:56] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["2","2","2025-11-25"]
[17:06:56] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-11-25"]
[17:06:56] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-11-25"]
[17:06:56] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-11-25"]
[17:06:56] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["33","2","2025-11-25"]
[17:06:56] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-11-25"]
[17:06:56] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-11-25"]
[17:07:58] login_id: 3 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-11-26","2"]
[17:07:58] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["46","2","2025-11-26"]
[17:07:58] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-11-26"]
[17:07:58] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-11-26"]
[17:07:58] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-11-26"]
[17:07:58] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-11-26"]
[17:07:58] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-11-26"]
[17:07:58] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-11-26"]
[17:10:31] login_id: 3 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-11-27","2"]
[17:10:31] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-11-27"]
[17:10:31] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-11-27"]
[17:10:31] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-11-27"]
[17:10:31] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-11-27"]
[17:10:31] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-11-27"]
[17:10:31] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-11-27"]
[17:10:31] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-11-27"]
[17:10:31] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-11-27"]
[18:03:27] login_id: 1 | SQL: DELETE FROM tbl_menu_map WHERE login_id = ? | Values: ["1"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","1"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","2"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","3"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","4"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","5"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","6"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","7"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","8"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","9"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","10"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","11"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","12"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","13"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","14"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","15"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","16"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","17"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","18"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","19"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","20"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","21"]
