[10:38:00] login_id: guest | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2026-08-26"]
[10:47:58] login_id: 1 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2026-07-18"]
[10:49:53] login_id: 1 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2026-07-18"]
[10:50:09] login_id: 1 | SQL: DELETE FROM tbl_dates WHERE id = ? | Values: ["11"]
[10:50:14] login_id: 1 | SQL: DELETE FROM tbl_dates WHERE id = ? | Values: ["12"]
[10:55:52] login_id: 1 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["60830-02-20"]
[10:56:02] login_id: 1 | SQL: DELETE FROM tbl_dates WHERE id = ? | Values: ["10"]
[10:58:24] login_id: 1 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["60830-02-20"]
[11:01:12] login_id: 1 | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["60830-02-20"]
[11:27:15] login_id: 1 | SQL: INSERT INTO tbl_wallet (client_id, date, amount, type) VALUES (?, ?, ?, ?) | Values: ["21","2026-07-13","300","credit"]
[11:39:59] login_id: 1 | SQL: UPDATE tbl_paid SET date = ?, head = ?, particuler = ?, amount = ?, flag = ?, transaction_type = ?, bill_photo = ? WHERE id = ? | Values: ["2026-04-30","1","Yonex Mavis 350 - Box By Jayaprasa B86, B87","2148","3","1","bill_20260718_113959_6a5b18b764713.pdf","23"]
[11:39:59] login_id: 1 | SQL: UPDATE tbl_payable SET date = ?, head = ?, particuler = ?, amount = ?, flag = ? WHERE id = ? | Values: ["2026-04-30","1","Yonex Mavis 350 - Box By Jayaprasa B86, B87","2148","3",23]
[11:39:59] login_id: 1 | SQL: UPDATE tbl_payable SET iscomplete = ? WHERE id = ? | Values: [1,23]
[11:42:19] login_id: 1 | SQL: UPDATE tbl_paid SET date = ?, head = ?, particuler = ?, amount = ?, flag = ?, transaction_type = ?, bill_photo = ? WHERE id = ? | Values: ["2026-06-18","1","Yonex Mavis 350 - Box By Jayaprasa B93, B94","2300","3","1","bill_20260718_114219_6a5b19434401f.jpeg","28"]
[11:42:19] login_id: 1 | SQL: UPDATE tbl_payable SET date = ?, head = ?, particuler = ?, amount = ?, flag = ? WHERE id = ? | Values: ["2026-06-18","1","Yonex Mavis 350 - Box By Jayaprasa B93, B94","2300","3",28]
[11:42:19] login_id: 1 | SQL: UPDATE tbl_payable SET iscomplete = ? WHERE id = ? | Values: [1,28]
[11:51:37] login_id: 1 | SQL: UPDATE tbl_paid SET date = ?, head = ?, particuler = ?, amount = ?, flag = ?, transaction_type = ?, bill_photo = ? WHERE id = ? | Values: ["2026-05-28","1","Yonex Mavis 350 - Box By Jayaprasa B90, B91","2080","3","1","bill_20260718_115137_6a5b1b719533f.pdf","26"]
[11:51:37] login_id: 1 | SQL: UPDATE tbl_payable SET date = ?, head = ?, particuler = ?, amount = ?, flag = ? WHERE id = ? | Values: ["2026-05-28","1","Yonex Mavis 350 - Box By Jayaprasa B90, B91","2080","3",26]
[11:51:37] login_id: 1 | SQL: UPDATE tbl_payable SET iscomplete = ? WHERE id = ? | Values: [1,26]
[11:53:29] login_id: 1 | SQL: UPDATE tbl_paid SET date = ?, head = ?, particuler = ?, amount = ?, flag = ?, transaction_type = ?, bill_photo = ? WHERE id = ? | Values: ["2026-05-11","1","Yonex Mavis 350 - Box By Jayaprasa B88, B89","2080","3","1","bill_20260718_115329_6a5b1be1c9713.pdf","24"]
[11:53:29] login_id: 1 | SQL: UPDATE tbl_payable SET date = ?, head = ?, particuler = ?, amount = ?, flag = ? WHERE id = ? | Values: ["2026-05-11","1","Yonex Mavis 350 - Box By Jayaprasa B88, B89","2080","3",24]
[11:53:29] login_id: 1 | SQL: UPDATE tbl_payable SET iscomplete = ? WHERE id = ? | Values: [1,24]
[11:53:43] login_id: 1 | SQL: UPDATE tbl_paid SET date = ?, head = ?, particuler = ?, amount = ?, flag = ?, transaction_type = ?, bill_photo = ? WHERE id = ? | Values: ["2026-06-15","1","Yonex Mavis 350 - Box By Jayaprasa B92, B93","2080","3","1","bill_20260718_115343_6a5b1bef949f9.pdf","27"]
[11:53:43] login_id: 1 | SQL: UPDATE tbl_payable SET date = ?, head = ?, particuler = ?, amount = ?, flag = ? WHERE id = ? | Values: ["2026-06-15","1","Yonex Mavis 350 - Box By Jayaprasa B92, B93","2080","3",27]
[11:53:43] login_id: 1 | SQL: UPDATE tbl_payable SET iscomplete = ? WHERE id = ? | Values: [1,27]
[11:56:33] login_id: 1 | SQL: INSERT INTO tbl_payable (date, head, particuler, amount, iscomplete,flag) VALUES (?, ?, ?, ?, 1, ?) | Values: ["2026-07-15","1","Yonex Mavis 350 - Box Instamart swiggy Angamaly By Freddy B95 ","1185","3"]
[11:56:33] login_id: 1 | SQL: INSERT INTO tbl_paid (date, head, particuler, amount, payable_id, flag, transaction_type, bill_photo) VALUES (?, ?, ?, ?, ?, ?, ?, ?) | Values: ["2026-07-15","1","Yonex Mavis 350 - Box Instamart swiggy Angamaly By Freddy B95 ","1185",29,"3","1","bill_20260718_115633_6a5b1c99a0f94.pdf"]
[11:57:49] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2026-07-17","Deposit",10000,"","Bank Deposit "]
[12:16:05] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2025-10-31","Deposit",178,"","By Interst"]
[12:16:44] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2026-03-31","Deposit",581,"","By  Interst"]
[14:17:33] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["19"]
[14:17:37] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["20"]
[14:48:50] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["14"]
[15:02:25] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2025-04-01","Interest",441,"","By SB Interst"]
[15:02:56] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2025-10-31","Interest",178,"","By  Interst"]
[15:03:19] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2026-03-31","Interest",581,"","By  Interst"]
[15:04:13] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["23"]
[15:04:16] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["22"]
[15:04:20] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["21"]
[15:07:06] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2025-04-01","Interest",441,"","By  Interst"]
[15:07:33] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2025-10-31","Interest",178,"","By  Interst"]
[15:07:48] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2026-03-31","Interest",581,"","By  Interst"]
[15:08:56] login_id: 1 | SQL: UPDATE tbl_bank_transactions SET date = ?, type = ?, amount = ?, reference_no = ?, description = ? WHERE id = ? | Values: ["2025-03-31","Interest",441,"","By  Interst",24]
[15:09:29] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["24"]
[15:09:54] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2025-03-31","Interest",441,"","By  Interst"]
[15:12:12] login_id: 1 | SQL: UPDATE tbl_bank_transactions SET date = ?, type = ?, amount = ?, reference_no = ?, description = ? WHERE id = ? | Values: ["2024-03-31","Interest",441,"","By SB Interst",3]
